epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,15136.3,1.41419,1.16008,1.26037,0.7415,0.67147,0.73391,0.47184,nan,nan,nan,0.007162,0.007162,0.007162
45,15471.9,1.41527,1.16332,1.2677,0.76483,0.66266,0.73856,0.47695,1.30086,1.09051,1.26246,0.007096,0.007096,0.007096
46,15805.9,1.40372,1.14884,1.25871,0.75543,0.63281,0.698,0.44592,nan,nan,nan,0.00703,0.00703,0.00703
47,16139.2,1.40856,1.1594,1.26268,0.76467,0.67998,0.74753,0.48309,1.29276,1.05557,1.25911,0.006964,0.006964,0.006964
48,16472.2,1.39238,1.14308,1.2552,0.77669,0.67659,0.74961,0.4879,1.28847,1.04129,1.26213,0.006898,0.006898,0.006898
49,16801,1.38547,1.13402,1.24917,0.78082,0.67528,0.75058,0.48835,nan,nan,nan,0.006832,0.006832,0.006832
50,17130.5,1.39071,1.12605,1.24749,0.78082,0.67704,0.75004,0.48844,nan,nan,nan,0.006766,0.006766,0.006766
51,17461.6,1.38197,1.12723,1.24882,0.78002,0.6874,0.75905,0.49514,1.27087,1.01671,1.25002,0.0067,0.0067,0.0067
52,17789.8,1.38238,1.12512,1.24825,0.77801,0.68429,0.75602,0.50085,nan,nan,nan,0.006634,0.006634,0.006634
53,18117.5,1.36956,1.11347,1.2443,0.79239,0.68577,0.75989,0.50679,nan,nan,nan,0.006568,0.006568,0.006568
54,18446.5,1.37139,1.11044,1.24131,0.75637,0.69282,0.76249,0.50065,1.26096,1.01163,1.23546,0.006502,0.006502,0.006502
55,18775,1.36838,1.10649,1.24095,0.79494,0.68447,0.76457,0.50337,1.25451,1.01147,1.23411,0.006436,0.006436,0.006436
56,19105.9,1.35639,1.09023,1.23035,0.79182,0.69697,0.77349,0.51482,1.24418,0.99678,1.22648,0.00637,0.00637,0.00637
57,19439.3,1.35994,1.08785,1.23152,0.7913,0.6818,0.76861,0.50883,1.2482,1.00898,1.21955,0.006304,0.006304,0.006304
58,19766.8,1.3487,1.07738,1.22423,0.77075,0.71635,0.77645,0.51252,1.23378,0.99105,1.2168,0.006238,0.006238,0.006238
59,20095.1,1.3415,1.0829,1.22657,0.79029,0.69543,0.77502,0.51969,1.22047,0.9834,1.21221,0.006172,0.006172,0.006172
60,20425.8,1.34839,1.06986,1.22095,0.7967,0.69765,0.78024,0.52095,1.22209,0.98039,1.21872,0.006106,0.006106,0.006106
61,20756.1,1.33759,1.06677,1.21666,0.8138,0.71496,0.79554,0.53517,1.20467,0.94545,1.2023,0.00604,0.00604,0.00604
