epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12853.3,1.42087,1.17623,1.27704,0.74828,0.67889,0.74081,0.46725,1.33166,1.17315,1.28131,0.005842,0.005842,0.005842
44,13152.6,1.41229,1.15575,1.26202,0.75057,0.66311,0.73392,0.47162,1.31062,1.12727,1.26637,0.005743,0.005743,0.005743
45,13461.5,1.41249,1.15835,1.26732,0.75216,0.67102,0.7394,0.474,1.30843,1.11552,1.27095,0.005644,0.005644,0.005644
46,13761.6,1.40256,1.14486,1.26079,0.75935,0.68388,0.75305,0.48177,1.30374,1.09216,1.2636,0.005545,0.005545,0.005545
47,14062.7,1.40387,1.15419,1.26095,0.77182,0.66927,0.75322,0.48413,1.30548,1.10435,1.26214,0.005446,0.005446,0.005446
48,14362.1,1.38984,1.13996,1.25601,0.77248,0.6745,0.75319,0.48933,1.28098,1.08718,1.25148,0.005347,0.005347,0.005347
49,14663.4,1.38314,1.13174,1.24995,0.77098,0.6805,0.75543,0.48603,1.29051,1.08417,1.25768,0.005248,0.005248,0.005248
50,14964.1,1.38229,1.1178,1.24454,0.75854,0.69211,0.75579,0.48963,1.28545,1.07371,1.25116,0.005149,0.005149,0.005149
51,15263.9,1.37548,1.11921,1.24613,0.7871,0.68454,0.76649,0.50487,1.27143,1.03553,1.2456,0.00505,0.00505,0.00505
52,15566.1,1.37598,1.117,1.24776,0.79797,0.68166,0.76551,0.50338,1.26945,1.03504,1.24853,0.004951,0.004951,0.004951
53,15868,1.36252,1.10519,1.24388,0.8088,0.67805,0.77028,0.51138,1.26029,1.02673,1.23968,0.004852,0.004852,0.004852
54,16168.3,1.36392,1.10305,1.2382,0.78124,0.6937,0.769,0.51031,1.25322,1.0227,1.232,0.004753,0.004753,0.004753
55,16470.3,1.36305,1.09814,1.23979,0.77857,0.6811,0.76157,0.50112,1.26502,1.05513,1.23801,0.004654,0.004654,0.004654
56,16769.4,1.34939,1.08428,1.22939,0.77836,0.69636,0.77085,0.51159,1.24227,1.01496,1.22517,0.004555,0.004555,0.004555
57,17067.4,1.35409,1.08271,1.23025,0.7849,0.69179,0.76907,0.50343,1.2583,1.03231,1.23245,0.004456,0.004456,0.004456
58,17364.1,1.34091,1.06734,1.22275,0.79763,0.69339,0.77515,0.51518,1.2345,1.02593,1.2175,0.004357,0.004357,0.004357
59,17658.3,1.33464,1.0708,1.22672,0.79064,0.70556,0.77829,0.51767,1.2299,1.00731,1.21333,0.004258,0.004258,0.004258
60,17954.9,1.341,1.06083,1.21781,0.79425,0.70146,0.78007,0.52158,1.22666,0.99297,1.21723,0.004159,0.004159,0.004159
61,18250,1.32959,1.05856,1.2146,0.79998,0.70661,0.78393,0.52565,1.22169,0.97934,1.21478,0.00406,0.00406,0.00406
62,18544,1.32614,1.04892,1.2141,0.79738,0.71552,0.78978,0.52956,1.22126,0.97902,1.20711,0.003961,0.003961,0.003961
63,18837.4,1.31836,1.04855,1.21711,0.7848,0.71536,0.78935,0.52705,1.21877,0.99002,1.20941,0.003862,0.003862,0.003862
64,19132,1.33073,1.05,1.21754,0.8117,0.70287,0.78904,0.53106,1.20993,0.97535,1.20638,0.003763,0.003763,0.003763
65,19428.9,1.32213,1.02716,1.20747,0.79934,0.71792,0.78724,0.52777,1.21897,0.97582,1.20581,0.003664,0.003664,0.003664
66,19724.5,1.30164,1.02184,1.20364,0.82382,0.70307,0.79109,0.53288,1.20148,0.95737,1.19808,0.003565,0.003565,0.003565
67,20020.7,1.313,1.03571,1.20966,0.81907,0.70717,0.79594,0.53714,1.20318,0.96176,1.19941,0.003466,0.003466,0.003466
68,20315.5,1.29569,1.01996,1.20854,0.80932,0.71581,0.79449,0.54044,1.19287,0.95406,1.19282,0.003367,0.003367,0.003367
69,20611.4,1.29557,1.01638,1.19504,0.81368,0.7193,0.79971,0.54744,1.18501,0.94662,1.19154,0.003268,0.003268,0.003268
70,20905.9,1.28828,1.01853,1.19905,0.81828,0.7185,0.80085,0.54588,1.18611,0.94545,1.1903,0.003169,0.003169,0.003169
71,21201.8,1.28793,1.00433,1.18924,0.8174,0.72545,0.8027,0.5473,1.19441,0.93599,1.18973,0.00307,0.00307,0.00307
72,21497.7,1.29144,1.00189,1.19516,0.81553,0.72622,0.80388,0.54504,1.18579,0.93633,1.18245,0.002971,0.002971,0.002971
73,21793.1,1.28369,0.99209,1.19079,0.82176,0.72791,0.80706,0.54907,1.17383,0.93015,1.18051,0.002872,0.002872,0.002872
74,22087,1.28074,0.99907,1.19513,0.81323,0.73014,0.80225,0.54811,1.16827,0.92687,1.17729,0.002773,0.002773,0.002773
75,22381.7,1.26725,0.97791,1.17971,0.82268,0.72809,0.8064,0.55159,1.16984,0.9194,1.17475,0.002674,0.002674,0.002674
76,22675.7,1.26866,0.98041,1.18212,0.83225,0.72585,0.80633,0.55153,1.16263,0.92095,1.17002,0.002575,0.002575,0.002575
77,22971.4,1.26448,0.97377,1.18036,0.82553,0.72675,0.80705,0.55237,1.16878,0.91256,1.17498,0.002476,0.002476,0.002476
78,23266.5,1.26564,0.97203,1.1808,0.82419,0.73792,0.80905,0.55517,1.16612,0.90912,1.17318,0.002377,0.002377,0.002377
79,23562.2,1.26708,0.96853,1.17567,0.82258,0.73942,0.81389,0.56111,1.15586,0.90922,1.16763,0.002278,0.002278,0.002278
80,23854.9,1.25911,0.97704,1.17939,0.82404,0.73693,0.81336,0.55762,1.15646,0.90743,1.16457,0.002179,0.002179,0.002179
81,24150.4,1.26014,0.9667,1.17676,0.81883,0.74546,0.81422,0.56003,1.15324,0.90209,1.16567,0.00208,0.00208,0.00208
82,24445.8,1.25117,0.9623,1.17265,0.83112,0.74293,0.81684,0.56196,1.14984,0.90585,1.16578,0.001981,0.001981,0.001981
83,24740.6,1.24618,0.95086,1.17142,0.83111,0.74077,0.81627,0.56519,1.14714,0.89739,1.16313,0.001882,0.001882,0.001882
84,25034.4,1.25107,0.95566,1.17201,0.8358,0.73837,0.81654,0.56627,1.14459,0.89567,1.1609,0.001783,0.001783,0.001783
85,25328.3,1.2354,0.93995,1.1638,0.83587,0.74198,0.81955,0.56737,1.14252,0.89197,1.1596,0.001684,0.001684,0.001684
86,25622.9,1.24636,0.94636,1.16504,0.82977,0.7481,0.82169,0.56874,1.13882,0.88865,1.15633,0.001585,0.001585,0.001585
87,25916,1.24133,0.94827,1.17049,0.83554,0.74301,0.82129,0.57009,1.13934,0.88791,1.1561,0.001486,0.001486,0.001486
88,26209.3,1.23241,0.93345,1.16715,0.83591,0.74447,0.81956,0.56964,1.13829,0.88243,1.15573,0.001387,0.001387,0.001387
89,26503.7,1.22834,0.93423,1.16213,0.83649,0.74924,0.82144,0.57034,1.1406,0.88159,1.15759,0.001288,0.001288,0.001288
90,26799,1.22242,0.92993,1.15765,0.83614,0.74863,0.82163,0.57088,1.13766,0.88221,1.15519,0.001189,0.001189,0.001189
91,27095,1.22257,0.9258,1.16091,0.83662,0.74906,0.82277,0.57223,1.13263,0.87476,1.15349,0.00109,0.00109,0.00109
92,27388.7,1.22143,0.92561,1.15793,0.84429,0.74556,0.82271,0.57454,1.13082,0.87135,1.15145,0.000991,0.000991,0.000991
93,27681.7,1.2201,0.92334,1.16206,0.84402,0.74844,0.82433,0.57687,1.1282,0.86905,1.14897,0.000892,0.000892,0.000892
94,27975.2,1.21157,0.91919,1.15737,0.83366,0.75431,0.82347,0.57599,1.12878,0.87092,1.15129,0.000793,0.000793,0.000793
95,28269.7,1.21037,0.9145,1.14897,0.83646,0.75698,0.82455,0.57642,1.12553,0.86989,1.1488,0.000694,0.000694,0.000694
96,28569.1,1.20402,0.90972,1.14807,0.82944,0.75807,0.82502,0.57999,1.12126,0.86316,1.14622,0.000595,0.000595,0.000595
97,28864.2,1.20029,0.90633,1.1494,0.8349,0.75552,0.8262,0.57987,1.12028,0.85905,1.1455,0.000496,0.000496,0.000496
98,29157.7,1.20383,0.90755,1.15247,0.82914,0.75707,0.8255,0.57926,1.12265,0.86444,1.14752,0.000397,0.000397,0.000397
99,29452.4,1.19929,0.90167,1.14532,0.82888,0.76371,0.82543,0.57921,1.12113,0.86071,1.14641,0.000298,0.000298,0.000298
100,29747,1.19862,0.89866,1.14605,0.82737,0.76384,0.82586,0.57982,1.12017,0.8611,1.14508,0.000199,0.000199,0.000199
